Category	Precision	Recall	F1-score	TP	FP	FN
HCC1395_ONT_Dorado,0.8,Longphase_TO_ss_v0_0_1,indel	0.030966116305284796	0.5830212234706617	0.05880871426772447	934	29228	668
HCC1395_ONT_Dorado,0.6,Longphase_TO_ss_v0_0_1,indel	0.03471514771569626	0.5530586766541823	0.0653295974045126	886	24636	716
HCC1395_ONT_Dorado,0.4,Longphase_TO_ss_v0_0_1,indel	0.029212244551852794	0.43008739076154806	0.05470859139272669	689	22897	913
HCC1395_ONT_Dorado,0.2,Longphase_TO_ss_v0_0_1,indel	0.005628819556127372	0.17478152309612985	0.010906399719549723	280	49464	1322
HCC1937_ONT,1.0,Longphase_TO_ss_v0_0_1,indel	0.00990180200496115	0.483	0.019405773518953773	483	48296	517
HCC1937_ONT,0.8,Longphase_TO_ss_v0_0_1,indel	0.01413328528817088	0.706	0.02771181284713363	706	49247	294
HCC1937_ONT,0.6,Longphase_TO_ss_v0_0_1,indel	0.016636590611326725	0.673	0.03247050876896727	673	39780	327
HCC1937_ONT,0.4,Longphase_TO_ss_v0_0_1,indel	0.010353535353535354	0.533	0.020312500000000004	533	50947	467
HCC1937_ONT,0.2,Longphase_TO_ss_v0_0_1,indel	0.0027754301395018833	0.266	0.0054935409588913785	266	95575	734
HCC1954_ONT,1.0,Longphase_TO_ss_v0_0_1,indel	0.03931966630020048	0.5159100551548579	0.07307033620767359	1216	29710	1141
HCC1954_ONT,0.8,Longphase_TO_ss_v0_0_1,indel	0.04509832377911618	0.5273652948663555	0.08309101240014707	1243	26319	1114
HCC1954_ONT,0.6,Longphase_TO_ss_v0_0_1,indel	0.04384657954110085	0.43699618158676284	0.07969668833178584	1030	22461	1327
HCC1954_ONT,0.4,Longphase_TO_ss_v0_0_1,indel	0.029133743758786176	0.2549851506151888	0.052292699904289565	601	20028	1756
HCC1954_ONT,0.2,Longphase_TO_ss_v0_0_1,indel	0.008774495466510676	0.10182435299109037	0.016156720185802283	240	27112	2117
COLO829_ONT_PAO,1.0,Longphase_TO_v0_0_1,indel	0.13255709807433946	0.300507614213198	0.18396519577377254	296	1937	689
COLO829_ONT_PAO,0.8,Longphase_TO_v0_0_1,indel	0.2064090480678605	0.22233502538071065	0.21407624633431085	219	842	766
