Category	Precision	Recall	F1-score	TP	FP	FN
COLO829_ONT_PAO,0.6,Longphase_TO_v0_0_1,snv	0.7979526984788498	0.7394935669973689	0.7676117215199388	30635	7757	10792
COLO829_ONT_PAO,0.4,Longphase_TO_v0_0_1,snv	0.7643360372751004	0.6573249330147005	0.7068030212578191	27231	8396	14196
COLO829_ONT_PAO,0.2,Longphase_TO_v0_0_1,snv	0.6208698656761543	0.34699592053491685	0.44518426757510066	14375	8778	27052
H1437_ONT,1.0,Longphase_TO_v0_0_1,snv	0.7675252525252525	0.5926912976781675	0.6688722289872508	45591	13809	31331
H1437_ONT,0.8,Longphase_TO_v0_0_1,snv	0.8502351834430856	0.5287304022256312	0.6520034947938793	40671	7164	36251
H1437_ONT,0.6,Longphase_TO_v0_0_1,snv	0.8170943134535368	0.55142872000208	0.6584752472173495	42417	9495	34505
H1437_ONT,0.4,Longphase_TO_v0_0_1,snv	0.7931877512120333	0.497698967785549	0.6116241173275394	38284	9982	38638
H1437_ONT,0.2,Longphase_TO_v0_0_1,snv	0.7068246784182944	0.30859832037648527	0.42962373083814454	23738	9846	53184
H2009_ONT,1.0,Longphase_TO_v0_0_1,snv	0.909999854674398	0.9119746002155487	0.9109861572817936	125236	12386	12088
H2009_ONT,0.8,Longphase_TO_v0_0_1,snv	0.9367611029810744	0.8297311467769655	0.8800037071648684	113942	7692	23382
H2009_ONT,0.6,Longphase_TO_v0_0_1,snv	0.915969651263769	0.875615333080889	0.8953380144304872	120243	11031	17081
H2009_ONT,0.4,Longphase_TO_v0_0_1,snv	0.9005558529254334	0.796357519443069	0.8452575562589127	109359	12076	27965
H2009_ONT,0.2,Longphase_TO_v0_0_1,snv	0.8396906987423527	0.41278290757624303	0.5534806743119938	56685	10822	80639
HCC1395_ONT,1.0,Longphase_TO_v0_0_1,snv	0.6990807344371023	0.726797982102568	0.7126699644535036	28670	12341	10777
HCC1395_ONT,0.8,Longphase_TO_v0_0_1,snv	0.767072139085791	0.6666159657261642	0.7133246527777779	26296	7985	13151
HCC1395_ONT,0.6,Longphase_TO_v0_0_1,snv	0.7337284851248148	0.6527239080284939	0.6908598183501253	25748	9344	13699
HCC1395_ONT,0.4,Longphase_TO_v0_0_1,snv	0.6950131403912917	0.5430324232514513	0.6096943132008881	21421	9400	18026
HCC1395_ONT,0.2,Longphase_TO_v0_0_1,snv	0.5394033281695068	0.27363297589170277	0.363079821050153	10794	9217	28653
HCC1395_ONT_Dorado,1.0,Longphase_TO_v0_0_1,snv	0.7073768282823334	0.7319441275635663	0.7194508123193462	28873	11944	10574
HCC1395_ONT_Dorado,0.8,Longphase_TO_v0_0_1,snv	0.8162167861661747	0.5887139706441554	0.6840454204038351	23223	5229	16224
HCC1395_ONT_Dorado,0.6,Longphase_TO_v0_0_1,snv	0.7852733981885274	0.5934291581108829	0.6760038696449456	23409	6401	16038
HCC1395_ONT_Dorado,0.4,Longphase_TO_v0_0_1,snv	0.7528475105710258	0.5010013435749233	0.6016317087278151	19763	6488	19684
HCC1395_ONT_Dorado,0.2,Longphase_TO_v0_0_1,snv	0.6190608695652174	0.2255938347656349	0.33068262048976255	8899	5476	30548
HCC1937_ONT,1.0,Longphase_TO_v0_0_1,snv	0.48745375583078654	0.7651328662500789	0.5955147257497974	12122	12746	3721
HCC1937_ONT,0.8,Longphase_TO_v0_0_1,snv	0.6468178761386563	0.6678028151233983	0.6571428571428573	10580	5777	5263
HCC1937_ONT,0.6,Longphase_TO_v0_0_1,snv	0.5862373440075347	0.6286056933661553	0.6066827084158265	9959	7029	5884
HCC1937_ONT,0.4,Longphase_TO_v0_0_1,snv	0.5142607291806808	0.48254749731742724	0.49789963854244684	7645	7221	8198
HCC1937_ONT,0.2,Longphase_TO_v0_0_1,snv	0.32697890458680084	0.2132803130720192	0.25816556519081635	3379	6955	12464
HCC1954_ONT,1.0,Longphase_TO_v0_0_1,snv	0.48464532871972316	0.6506653762400194	0.5555165361812886	13446	14298	7219
HCC1954_ONT,0.8,Longphase_TO_v0_0_1,snv	0.470817614050661	0.718654730220179	0.5689166411277965	14851	16692	5814
HCC1954_ONT,0.6,Longphase_TO_v0_0_1,snv	0.40904834178318855	0.6129687878054682	0.490664704059498	12667	18300	7998
HCC1954_ONT,0.4,Longphase_TO_v0_0_1,snv	0.3114601901366607	0.40585531091217036	0.3524467883932511	8387	18541	12278
HCC1954_ONT,0.2,Longphase_TO_v0_0_1,snv	0.16820265379975874	0.16869102346963466	0.16844648465812997	3486	17239	17179
COLO829_ONT_PAO,1.0,Longphase_TO_v0_0_1_2,snv	0.647064483229742	0.8116928573152775	0.7200890849519241	33626	18341	7801
COLO829_ONT_PAO,0.8,Longphase_TO_v0_0_1_2,snv	0.8017946543375373	0.7074613174982499	0.7516799179276737	29308	7245	12119
COLO829_ONT_PAO,0.6,Longphase_TO_v0_0_1_2,snv	0.7843488348633108	0.7507422695343616	0.7671776908940664	31101	8551	10326
COLO829_ONT_PAO,0.4,Longphase_TO_v0_0_1_2,snv	0.7496859468021192	0.6626596181234461	0.7034915753731822	27452	9166	13975
COLO829_ONT_PAO,0.2,Longphase_TO_v0_0_1_2,snv	0.6024684151273819	0.348782195186714	0.44179789023085164	14449	9534	26978
H1437_ONT,1.0,Longphase_TO_v0_0_1_2,snv	0.7675252525252525	0.5926912976781675	0.6688722289872508	45591	13809	31331
H1437_ONT,0.8,Longphase_TO_v0_0_1_2,snv	0.8415989027138239	0.5583708171914407	0.6713349015684956	42951	8084	33971
H1437_ONT,0.6,Longphase_TO_v0_0_1_2,snv	0.8019777827816558	0.5556147786069005	0.6564424716236349	42739	10553	34183
H1437_ONT,0.4,Longphase_TO_v0_0_1_2,snv	0.7762085384553304	0.500143002002028	0.6083202884113657	38472	11092	38450
H1437_ONT,0.2,Longphase_TO_v0_0_1_2,snv	0.6822895777230276	0.309612334572684	0.42593983617698605	23816	11090	53106
H2009_ONT,1.0,Longphase_TO_v0_0_1_2,snv	0.909999854674398	0.9119746002155487	0.9109861572817936	125236	12386	12088
